배정예선,선박명,작업 시작지,작업 종료지,스케줄 시작 시각,도선사,톤수
M,HARMONY YUN GANG,PAL,NIPT1,2024-06-25T15:30:00.000Z,,35187
Q,JIA HE,PAL,N21,2024-06-25T12:00:00.000Z,,1499
R,BIRYONG,PAL,NIPT2,2024-06-25T09:30:00.000Z,KK,14614
"W,O",HUA CHEN 26,PAL,N44,2024-06-25T07:30:00.000Z,BC,10565
"M,K",BEI HAI,NPPS,HJIT3,2024-06-25T07:00:00.000Z,US,5272
"R,Z",수성 2,PAL,SAMPYO,2024-06-25T06:00:00.000Z,,5963
"S,N",WOO HYUK,SKI 4,PAL,2024-06-25T05:00:00.000Z,,5025
"B,T",AFRICAN LAPWING,JANG,N41,2024-06-25T04:00:00.000Z,CN,24785
"L,M",CONSISTENCE,NPPS,HJIT2,2024-06-25T01:30:00.000Z,YM,9972
"S,진",XI YUAN,PAL,23,2024-06-25T18:00:00.000Z,,1998
"G,V",KOREA VENUS,GS-HD,PAL,2024-06-25T16:30:00.000Z,,39543
H,EVER OPTIMA,ICT2,PAL,2024-06-25T15:00:00.000Z,,27025
L,KMTC INCHEON,SNCT1,NPPS,2024-06-25T12:00:00.000Z,,17933
"W,N",KS HONOR,PAL,SKI 1,2024-06-25T08:30:00.000Z,,7057
S,PILLOS 1,E3,HIT,2024-06-25T07:00:00.000Z,,1899
K,SUNNY CAMELLIA,SNCT3,NPPS,2024-06-25T07:00:00.000Z,KN,9563
"O,S",WOOLIM DRAGON 7,PAL,SOD1,2024-06-25T06:00:00.000Z,,6398
W,ES ROSE,N-HOB,PAL,2024-06-25T05:00:00.000Z,,5589
"해,진",GOLDEN RESOLUTION,65,PAL,2024-06-25T04:00:00.000Z,GJ,8045
"미,Q",VICTORY STAR,PAL,E1CT,2024-06-25T00:30:00.000Z,KB,7406
"N,진",TY BONNY,LE,30,2024-06-25T18:00:00.000Z,,2615
"Q,S,해,진",GLOBAL STAR,PAL,44,2024-06-25T16:00:00.000Z,,4109
"V,N",HONG YANG 28,PAL,E1CT,2024-06-25T14:00:00.000Z,,11856
T,XIN XIANG XUE LAN,PAL,NIPT5,2024-06-25T10:30:00.000Z,,32729
"비,명,해",RIGEL LEADER,52,DONG,2024-06-25T18:30:00.000Z,,59337
"R,T",TS XIAMEN,PAL,ICT2,2024-06-25T19:30:00.000Z,,18725
"J,G,D,비,명",DREAM BEAUTY V-004,PAL,52,2024-06-25T19:00:00.000Z,,41662
"N,O",DOOLA #7,PAL,N-HOB,2024-06-25T19:00:00.000Z,,6402
"W,미",우성,PAL,GSD,2024-06-25T13:00:00.000Z,,1998
E,DOOLA #7,N-HOB,PAL,2024-06-26T07:30:00.000Z,,6402
"Z,G",MORNING VICTORY,PAL,RHC,2024-06-26T07:00:00.000Z,,5222
"L,M",LECANGS DOLPHIN,NPPS,SNCT2,2024-06-26T06:00:00.000Z,KN,18680
S,DB SUNNY,E2,HIT,2024-06-26T05:00:00.000Z,,1599
"성,M",REVERENCE,NPPS,SNCT3,2024-06-26T04:00:00.000Z,HY,9990
"N,O",MS CLEAN,PAL,SOD1,2024-06-26T00:30:00.000Z,,3773
"W,진",DORIS,PAL,41,2024-06-26T07:00:00.000Z,YM,1941
"미,S",SKY VICTORIA,PAL,E1CT,2024-06-26T07:00:00.000Z,,9592
T,수성 2,SAMPYO,PAL,2024-06-26T06:00:00.000Z,,5963
"R,D",KEN GOH,JANG,N14,2024-06-26T05:00:00.000Z,GD,19707
"A,F3,B,비,명",MORNING COURIER,PAL,53,2024-06-26T03:30:00.000Z,CN,57692
S,WOOLIM DRAGON 7,SOD1,PAL,2024-06-26T00:30:00.000Z,,6398
"송,Y,U,J",PUTERI ZAMRUD,JANG,LNG2,2024-06-26T08:00:00.000Z,KK,86205
"E,T,동,진",JI HANG 56,PAL,43,2024-06-26T07:00:00.000Z,KU,9998
E,수성 1호,PAL,SAMPYO,2024-06-26T06:30:00.000Z,,5969
"O,W",DL RUBY,PAL,SKI 2,2024-06-26T05:00:00.000Z,,6716
"N,Q",DS PROSPERITY 7,PAL,N15,2024-06-26T04:00:00.000Z,US,7167
진,TY BONNY,30,LE,2024-06-26T02:00:00.000Z,CR,2615
"H,L",MERATUS TOMINI,NPPS,HJIT3,2024-06-26T20:00:00.000Z,,28050
"N,Q",OCEAN GAS,PAL,SKI 1,2024-06-26T16:30:00.000Z,,3678
"K,성",A ROKKO,NPPS,HJIT1,2024-06-26T11:30:00.000Z,,9562
"Q,S",ES ROSE,PAL,KAL,2024-06-26T19:30:00.000Z,,5589
"N,G,E,N",BEI JIANG,KICT,ICT1,2024-06-26T19:00:00.000Z,,5250
R,TS XIAMEN,ICT2,PAL,2024-06-26T08:00:00.000Z,,18725
"C,A,F2,비,명",GMT ASTRO,PAL,40,2024-06-26T22:00:00.000Z,,48017
"H,B",ADAMS,NPPS,HJIT2,2024-06-26T17:00:00.000Z,,66462
"성,K",KOREA VISION,BUKJ2,E1GT,2024-06-26T15:00:00.000Z,,3872
"K,M",SITC CHANGDE,NPPS,HJIT3,2024-06-26T19:30:00.000Z,,19001
"비,명",STAR EMERALD,72,51,2024-06-26T10:00:00.000Z,,44114
"W,미",FC GRACE,E6,SOD1,2024-06-26T19:00:00.000Z,,4960
"D,A",MARLIN LA PLATA,SKI 3,DONG,2024-06-26T18:00:00.000Z,,65552
"H,L",XIN QING DAO,NPPS,SNCT1,2024-06-26T08:00:00.000Z,BJ,66433
"성,K",YA LU JIANG,NPPS,SNCT3,2024-06-26T18:00:00.000Z,,5250
"해,진",GLOBAL STAR,44,PAL,2024-06-26T22:00:00.000Z,,4109
"F2,Z",AAL HONG KONG,PAL,N12,2024-06-26T17:00:00.000Z,,23930
"E,N",KS HONOR,SKI 1,PAL,2024-06-26T12:00:00.000Z,,7057
"A,F2,F3,비,명",NEW BOUNDARY,PAL,72,2024-06-26T19:30:00.000Z,,31878
B,HUADONG PEARL 8,PAL,NIPT5,2024-06-26T08:30:00.000Z,,35092
"비,명,동",DREAM BEAUTY V-004,52,DONG,2024-06-26T19:00:00.000Z,,41662
진,XI YUAN,23,PAL,2024-06-26T17:30:00.000Z,,1998
"비,명,해",DREAM BEAUTY,52,DONG,2024-06-26T19:00:00.000Z,,41662
"K,성",SKY IRIS,NPPS,HJIT1,2024-06-27T21:00:00.000Z,,9980
"T,R",MORNING SKY,PAL,RHC,2024-06-27T19:30:00.000Z,,6422
"성,K",AN DONG 68,NPPS,SNCT3,2024-06-27T19:00:00.000Z,,3988
"N,Q",HAN YU DREAM,PAL,GSD,2024-06-27T10:00:00.000Z,,2114
"미,O",SHIN LINE 11,PAL,N45,2024-06-27T17:00:00.000Z,,9799
"K,L",YA LU JIANG,SNCT3,NPPS,2024-06-27T10:00:00.000Z,,5250
"미,W,동,진",HMCS MONTREAL,PAL,13,2024-06-27T08:30:00.000Z,YM,6062
J,ADAMS,HJIT3,NPPS,2024-06-27T11:00:00.000Z,,66462
"N,W",KEOJE CORDELIA,PAL,N-HOB,2024-06-27T10:30:00.000Z,,8689
"Q,E",DOOLA STAR,PAL,KAL,2024-06-27T08:00:00.000Z,,5770
"성,M",KOREA VISION,E1GT,BUKJ2,2024-06-27T07:00:00.000Z,KU,3872
미,우성,PAL,HIT,2024-06-27T06:00:00.000Z,,1998
"R,Z",TS BANGKOK,PAL,ICT2,2024-06-27T04:30:00.000Z,GD,17449
"R,E",BEI JIANG,ICT1,PAL,2024-06-27T02:00:00.000Z,KK,5250
"S,N",DS PROSPERITY 7,N15,PAL,2024-06-27T23:00:00.000Z,,7167
"T,R",KEN GOH,N14,DONG,2024-06-27T23:00:00.000Z,,19707
"Z,M",WAN HAI 292,NPPS,SNCT1,2024-06-27T21:00:00.000Z,,20918
"M,A",JA YANG,PAL,HIDC,2024-06-27T19:00:00.000Z,,4739
진,DORIS,41,PAL,2024-06-27T18:00:00.000Z,,1941
Q,FC GRACE,SOD1,PAL,2024-06-27T10:00:00.000Z,,4960
R,BIRYONG,PAL,NIPT2,2024-06-27T09:30:00.000Z,,14614
"N,W",OCEAN GAS,SKI 1,PAL,2024-06-27T15:00:00.000Z,,3678
"U,송,X,Y",SM EAGLE,JANG,LNG2,2024-06-27T08:00:00.000Z,US,115716
F1,MERATUS TOMINI,HJIT2,NPPS,2024-06-27T11:00:00.000Z,,28050
"E,Z,해,진",YORK 27,PAL,52,2024-06-27T10:30:00.000Z,,8638
"J,E",ES ROSE,KAL,PAL,2024-06-27T08:00:00.000Z,,5589
"F1,H",XIN QING DAO,SNCT1,NPPS,2024-06-27T07:00:00.000Z,YM,66433
K,REVERENCE,SNCT2,NPPS,2024-06-27T06:00:00.000Z,KN,9990
"G,D,V,비,명",PEGASUS ACE,PAL,53,2024-06-27T03:30:00.000Z,KB,36893
"N,S",HUA CHEN 26,N44,PAL,2024-06-27T02:00:00.000Z,BC,10565
"비,명,해",BCH BRAMBERG,20,PAL,2024-06-27T23:00:00.000Z,,36303
"동,해,비",WOOYANG CLES,24,DONG,2024-06-27T21:00:00.000Z,,26303
"S,N",WOO LIM 5,PAL,SOD1,2024-06-27T19:30:00.000Z,,8072
A,MORNING VICTORY,RHC,PAL,2024-06-27T19:00:00.000Z,,5222
"B,T",AFRICAN LAPWING,N41,DONG,2024-06-27T18:00:00.000Z,,24785
"O,A",SUNRISE AUTUMN,PAL,N31,2024-06-27T10:00:00.000Z,,13069
"W,N",인천함,PAL,NAVD,2024-06-27T09:00:00.000Z,,3000
"J,M",SITC CHANGDE,NPPS,HJIT3,2024-06-27T11:00:00.000Z,,19001
"송,X,Y,C",PUTERI ZAMRUD,LNG2,DONG,2024-06-27T08:00:00.000Z,HY,86205
"K,T",KMTC LAEM CHABANG,NPPS,HJIT2,2024-06-27T11:00:00.000Z,,18318
H,XIN XIANG XUE LAN,PAL,NIPT5,2024-06-27T10:30:00.000Z,,32729
"성,K",HEUNG-A HAIPHONG,NPPS,HJIT1,2024-06-27T07:30:00.000Z,GH,9960
"L,M",SKY CHALLENGE,NPPS,SNCT2,2024-06-27T07:00:00.000Z,GD,20738
"B,V",AFRICAN ORIOLE,JANG,N11,2024-06-27T04:30:00.000Z,CR,24725
"해,진",GLOBAL STAR,44,PAL,2024-06-27T03:00:00.000Z,KU,4109
"Q,V",XIN YU JIN XIANG,PAL,NIPT6,2024-06-27T23:00:00.000Z,,12304
"O,진",YU LIN,PAL,25,2024-06-27T16:30:00.000Z,,2976
I,K GAS,PAL,E1GT,2024-06-27T16:00:00.000Z,,1002
T,수성 1호,SAMPYO,PAL,2024-06-27T21:00:00.000Z,,5969
"I,L",JAN,NPPS,SNCT1,2024-06-28T18:00:00.000Z,,17280
"동,R,해",MINNE APOLIS MIYO,36,PAL,2024-06-28T23:59:00.000Z,,23550
"W,O",FORTUNE KAREN,W4,SKI 2,2024-06-28T17:00:00.000Z,,7699
K,WAN HAI 292,SNCT1,NPPS,2024-06-28T16:00:00.000Z,,20918
"N,S",인천함,NAVD,PAL,2024-06-28T15:00:00.000Z,,3000
"명,비,R",RARAKA,73,PAL,2024-06-28T14:00:00.000Z,,41394
"O,S,동,진",한나래,PAL,17,2024-06-28T11:30:00.000Z,,6280
"U,송,X,Y",SM EAGLE,LNG2,DONG,2024-06-28T10:00:00.000Z,,115716
"Q,E",XIN YU JIN XIANG,PAL,NIPT6,2024-06-28T06:30:00.000Z,KN,12304
"W,O",DOOLA #7,E5,N-HOB,2024-06-28T03:00:00.000Z,,6402
"성,M",XIN TAI PING,NPPS,HJIT3,2024-06-28T09:00:00.000Z,,5275
V,HUADONG PEARL 8,PAL,NIPT5,2024-06-28T08:30:00.000Z,,35092
T,MORNING SKY,RHC,PAL,2024-06-28T21:00:00.000Z,,6422
S,JAEWON STELLA,JAK,KIST,2024-06-28T07:30:00.000Z,JU,2676
"L,I",RESURGENCE,NPPS,HJIT1,2024-06-28T19:00:00.000Z,,9443
M,HARMONY YUN GANG,PAL,NIPT1,2024-06-28T18:00:00.000Z,,35187
"F3,E",AFRICAN ORIOLE,N11,DONG,2024-06-28T23:00:00.000Z,,24725
"G,V",ARAFURA LILY,PAL,NIPT6,2024-06-28T17:00:00.000Z,,12335
"명,비,R",PEGASUS ACE,53,DONG,2024-06-28T16:00:00.000Z,,36893
"B,L",SM CHALLENGER,YHD3,DONG,2024-06-28T14:30:00.000Z,,51158
성,SKY IRIS,HJIT1,NPPS,2024-06-28T12:00:00.000Z,,9980
"성,K",CONCERTO,NPPS,HJIT2,2024-06-28T10:00:00.000Z,,9972
"성,M",AN DONG 68,SNCT3,NPPS,2024-06-28T07:00:00.000Z,GD,3988
"O,W",DOOLA STAR,KAL,PAL,2024-06-28T06:00:00.000Z,,5770
K,KMTC LAEM CHABANG,HJIT2,NPPS,2024-06-28T10:00:00.000Z,,18318
"E,미",KEOJE CORDELIA,N-HOB,PAL,2024-06-28T03:00:00.000Z,,8689
G,LINA,PAL,SAMPYO,2024-06-28T08:30:00.000Z,,6983
"A,F1",WOOYANG FRIEND,YHD1,YHD1,2024-06-28T08:00:00.000Z,GJ,43158
M,K GAS,BUKJ2,SOD1,2024-06-28T20:30:00.000Z,,1002
"해,진",JI HANG 56,43,PAL,2024-06-28T19:00:00.000Z,,9998
미,WOO LIM 5,SOD1,PAL,2024-06-28T17:30:00.000Z,,8072
"O,W",FC GRACE,PAL,N-HOB,2024-06-28T22:00:00.000Z,,4960
"K,L",SM TOKYO,NPPS,HJIT3,2024-06-28T17:00:00.000Z,,9928
"S,진",REMIT,PAL,41,2024-06-28T16:00:00.000Z,,1972
"N,Q",ES ROSE,PAL,KAL,2024-06-28T14:00:00.000Z,,5589
"I,K",A ROKKO,NPPS,HJIT1,2024-06-28T12:00:00.000Z,,9562
"J,T",GROUSE ARROW,PAL,N13,2024-06-28T10:00:00.000Z,,28157
"W,O",MEGA PIONEER,JAK,KIST,2024-06-28T06:30:00.000Z,BJ,3543
"S,미",DL AMBER,PAL,SKI 3,2024-06-28T05:00:00.000Z,,7333
"O,진",YU LIN,PAL,25,2024-06-28T09:00:00.000Z,,2976
C,SKY CHALLENGE,SNCT2,NPPS,2024-06-28T01:40:00.000Z,CR,20738
M,SITC CHANGDE,HJIT3,NPPS,2024-06-28T08:30:00.000Z,,19001
"K,성",SUNNY ROSE,NPPS,HJIT3,2024-06-28T21:00:00.000Z,,9865
"H,V,J,명,비",YING SHUN,LEN,42,2024-06-28T07:30:00.000Z,YM,43990
"S,N",7 DEABOK,PAL,GSD,2024-06-28T19:00:00.000Z,,1996
T,JA YANG,HIDC,PAL,2024-06-28T19:00:00.000Z,,4739
"K,성",SUNNY ROSE,NPPS,HJIT2,2024-06-29T02:00:00.000Z,UM,9865
"E,T,Q,동,R",DE LONG,PAL,40,2024-06-29T22:30:00.000Z,,12527
N,PEGASUS GLORY,PAL,E1CT,2024-06-29T12:00:00.000Z,,9908
"명,비,R",GMT ASTRO,40,PAL,2024-06-29T19:00:00.000Z,,48017
T,XIN XIANG XUE LAN,PAL,NIPT5,2024-06-29T10:30:00.000Z,,32729
"미,W",SHIN LINE 11,N45,PAL,2024-06-29T18:00:00.000Z,,9799
"N,Q",SJ HOPE,PAL,SOD1,2024-06-29T16:00:00.000Z,,5025
"R,T",QUEZON BRIDGE,PAL,ICT2,2024-06-29T09:30:00.000Z,,17211
"명,비,동",STAR EMERALD,51,DONG,2024-06-29T14:00:00.000Z,,44114
"Z,F3",KOREA VENUS,PAL,GS-HD,2024-06-29T09:00:00.000Z,,39543
성,SM TOKYO,HJIT3,NPPS,2024-06-29T08:00:00.000Z,,9928
"F3,E",AFRICAN ORIOLE,N11,DONG,2024-06-29T07:00:00.000Z,CR,24725
"N,O",7 DEABOK,GSD,PAL,2024-06-29T06:00:00.000Z,,1996
성,CONCERTO,HJIT1,NPPS,2024-06-29T05:00:00.000Z,KB,9972
"F3,M",TORM AUSTRALIA,JANG,SKI 3,2024-06-29T02:30:00.000Z,YM,29726
"I,L",HANSA FRESENBURG,NPPS,HJIT3,2024-06-29T23:00:00.000Z,,18296
"동,R,해",MINNE APOLIS MIYO,36,PAL,2024-06-29T02:00:00.000Z,CN,23550
"해,진",YORK 27,52,PAL,2024-06-29T22:00:00.000Z,,8638
"R,S",SUNRISE AUTUMN,N31,PAL,2024-06-29T13:00:00.000Z,,13069
R,FC GRACE,N-HOB,PAL,2024-06-29T12:00:00.000Z,,4960
"C,J",GROUSE ARROW,N13,PAL,2024-06-29T18:00:00.000Z,,28157
W,동방루비,N11,PAL,2024-06-29T16:00:00.000Z,,2879
"Y,송,X,D,L",AL SAMRIYA,JANG,LNG2,2024-06-29T10:30:00.000Z,,168189
"D,B",ORIENTAL ENTERPRISE,JANG,YHD3,2024-06-29T15:00:00.000Z,,48042
"D,성",XIN HE DA,NPPS,HJIT3,2024-06-29T09:30:00.000Z,,7808
T,LINA,SAMPYO,PAL,2024-06-29T09:00:00.000Z,,6983
"B,I",HARMONY CHEMIST,JANG,KAL,2024-06-29T07:30:00.000Z,KN,30087
"Q,S",FORTUNE KAREN,SKI 2,PAL,2024-06-29T07:00:00.000Z,JU,7699
"N,S",ES ROSE,KAL,PAL,2024-06-29T06:00:00.000Z,,5589
K,JAN,SNCT1,NPPS,2024-06-29T05:00:00.000Z,CR,17280
I,RESURGENCE,HJIT2,NPPS,2024-06-29T02:00:00.000Z,CG,9443
M,SAMPYO 5,PAL,SAMPYO,2024-06-29T22:30:00.000Z,,7271
"미,Q",WOO CHOON,PAL,GSD,2024-06-29T13:00:00.000Z,,3969
"M,E,해,진",ARAON,PAL,12,2024-06-29T19:30:00.000Z,,7507
"S,N",FC DELLA,PAL,N-HOB,2024-06-29T12:00:00.000Z,,4956
K,POS SINGAPORE,NPPS,HJIT2,2024-06-29T18:00:00.000Z,,17846
Q,K GAS,SOD1,BUKJ2,2024-06-29T16:00:00.000Z,,1002
E,BIRYONG,PAL,NIPT2,2024-06-29T09:30:00.000Z,,14614
,DOOLA STAR,PAL,N-HOB,2024-06-29T15:00:00.000Z,,5770
"A,F2,H,J",STAR ORION,JANG,YHD1,2024-06-29T09:00:00.000Z,KI,89076
"E,M",HALLA FRONTIER,PAL,RHC,2024-06-29T08:00:00.000Z,,4881
"F2,C",WOOYANG FRIEND,YHD1,DONG,2024-06-29T07:30:00.000Z,GH,43158
H,DONGJIN CONTINENTAL,NPPS,HJIT3,2024-06-29T07:00:00.000Z,,9946
"Z,G,V,명,비",PEGASUS ACE,PAL,60,2024-06-29T06:00:00.000Z,HY,36893
"A,G,M,명,비",DARYA MAHI,PAL,21,2024-06-29T04:00:00.000Z,CN,24755
"Q,S",SC SHANGHAI,JANG,SKI 2,2024-06-29T18:00:00.000Z,KU,8562
"W,O",BAL STAR,PAL,E1CT,2024-06-30T12:00:00.000Z,,7409
"K,L",REVERENCE,NPPS,SNCT1,2024-06-30T20:00:00.000Z,,9990
W,동방루비,N11,PAL,2024-06-30T11:00:00.000Z,,2879
"미,S",SHIN LINE 11,N45,PAL,2024-06-30T19:30:00.000Z,,9799
"명,비,R",PEGASUS ACE,51,DONG,2024-06-30T17:30:00.000Z,,36893
E,PEGASUS GLORY,E1CT,PAL,2024-06-30T10:00:00.000Z,,9908
"O,진",RICH ANNA,PAL,43,2024-06-30T14:00:00.000Z,,2188
"I,K",YA LU JIANG,NPPS,SNCT3,2024-06-30T08:00:00.000Z,,5250
"F1,L",SITC QIUMING,NPPS,HJIT3,2024-06-30T06:00:00.000Z,,29232
"J,H,A,명,비",TIRRANNA,PAL,53,2024-06-30T01:30:00.000Z,,71673
"F1,L",STARSHIP JUPITER,NPPS,HJIT2,2024-06-30T12:00:00.000Z,,27997
N,DB SUNNY,W4,HIT,2024-06-30T20:00:00.000Z,,1599
"해,진",YORK 27,52,PAL,2024-06-30T19:00:00.000Z,,8638
"N,Q,동,진",YU SHUN,PAL,73,2024-06-30T11:00:00.000Z,,4378
"N,S",SJ HOPE,SOD1,PAL,2024-06-30T16:00:00.000Z,,5025
"미,W",MEGA PIONEER,KIST,JAK,2024-06-30T09:00:00.000Z,,3543
"L,I",XIN MING ZHOU 20,NPPS,SNCT2,2024-06-30T13:00:00.000Z,,9653
"B,F1",HARMONY CHEMIST,KAL,E1,2024-06-30T07:00:00.000Z,,30087
"K,L",XIN HE DA,HJIT3,NPPS,2024-06-30T06:00:00.000Z,,7808
"해,진",MERIDA,34,PAL,2024-06-30T01:00:00.000Z,,5275
I,POS SINGAPORE,HJIT2,NPPS,2024-06-30T12:00:00.000Z,,17846
W,KUN YUAN,PAL,N11,2024-06-30T23:30:00.000Z,,2581
"E,미",WOO CHOON,GSD,PAL,2024-06-30T11:30:00.000Z,,3969
"B,E",TORM AUSTRALIA,SKI 3,DONG,2024-06-30T20:00:00.000Z,,29726
"G,M",WAN DA 9,PAL,N44,2024-06-30T19:00:00.000Z,,15953
"V,H",OBE QUEEN,PAL,N14,2024-06-30T10:30:00.000Z,,30221
I,HANSA FRESENBURG,HJIT1,NPPS,2024-06-30T15:00:00.000Z,,18296
"Z,B",KOREA VENUS,GS-HD,PAL,2024-06-30T08:30:00.000Z,,39543
"Q,S",DOOLA #7,PAL,N-HOB,2024-06-30T06:30:00.000Z,,6402
S,DOOLA STAR,N-HOB,PAL,2024-06-30T04:00:00.000Z,,5770
"Q,S",FC GRACE,E5,N-HOB,2024-06-30T22:00:00.000Z,,4960
E,SAMPYO 5,SAMPYO,PAL,2024-06-30T23:00:00.000Z,,7271
"M,W",OCEAN GAS,PAL,SKI 1,2024-06-30T18:30:00.000Z,,3678